Food Group,Food_Protein,Protein (g),Food Group,Food_Fat,Total Fat (g),Food Group,Food_Fiber,Total Dietary Fiber(g),Food Group,Food_CHO,CHO (g),Food Group,Food_Energy,Energy (kcals),Food Group,Food_Thiamine,Thaimine (mg),Food Group,Food_Riboflavin,Riboflavin (mg),Food Group,Food_Niacin,Niacin (mg),Food Group,Food_Pantothenic ,Pantothenic acid (mg),Food Group,Food_B6,Total B6 (mg),Food Group,Food_Biotin,Biotin (B7) (mcg),Food Group,Food_folates,Total folates (mcg),Food Group,Food_ascorbic,Total ascorbic acid (mg),Food Group,Food_Ergocalciferol,Ergocalciferol D2 (mcg),Food Group,Food_Vit_E,Vit E (mg),Food Group,Food_Vit_K1,Vit K1 (mcg),Food Group,Food Name,beta- carotene (mcg),Food Group,Food Name,Calcium (mg),Food Group,Food Name,Chromium (mg),Food Group,Food Name,Iron (mg),Food Group,Food Name,Magnesium (mg),Food Group,Food Name,Manganese (mg),Food Group,Food Name,Molebdeum (mg),Food Group,Food Name,Phosphorus (mg),Food Group,Food Name,Potassium (mg),Food Group,Food Name,Selenium (mcg),Food Group,Food Name,Sodium (mg),Food Group,Food Name,Zinc (mg),Food Group,Food Name,Linoleic (mg),Food Group,Food Name,alpha- linolenic (mg),Food Group,Food Name,Arachidonic (mg),Food Group,Food Name,Histidine (g),Food Group,Food Name,Isoleucine (g),Food Group,Food_Luecine,Luecine (g),Food Group,Food_Lysine,Lysine (g),Food Group,Food_Methionine,Methionine (g),Food Group,Food_Cystine,Cystine (g),Food Group,Food_Phenylalanine,Phenylalanine (g),Food Group,Food_Threonine,Threonine (g),Food Group,Food_Tryptophan,Tryptophan (g),Food Group,Food_Valine,Valine (g)
F,Avocado fruit ,2.95,F,Black berry (Rubus fruticosus),0.63,GLV,"Gogu leaves, green",4.59,CSF,"Onion, small",11.58,RT,Lotus root,79.349992,GLV,Radish leaves,0.06,GLV,Garden cress,0.06,F,"Guava, white flesh ",0.6,CSD,Nutmeg,0.33,OV,"Onion, stalk",0.17,F,Pummelo,1.81,F,"Guava, pink flesh ",32.17,OV,"Field beans, tender, broad",5.99,GL,"Red gram, dal",2.12,GL,"Bengal gram, dal",0.19,GL,"Green gram, dal",8.3,F,Pear ,13.16,CM,"Wheat, whole",39.36,F,Phalsa ,0.008,CM,Barley,1.56,GLV,Lettuce,43.22,F,"Raisins, dried, black",0.52,OV,Ash gourd,0.008,GLV,"Pumpkin leaves, tender",64.54,F,Wood Apple ,347,OV,"Bamboo shoot, tender",2.58,OV,"French beans, hybrid",9.18,GLV,Fenugreek leaves,0.54,F,Star fruit ,151,CSD,Asafoetida,43.79,CSD,Coriander seeds,0,OV,"Onion, stalk",2.16,CSF,Curry leaves,3.75,CM,"Wheat, bulgur",6.61,F,"Currants, black ",3.82,F,"Lemon, juice",1.1,GLV,Parsley,0.87,OV,"Ridge gourd, smooth skin",4.45,F,"Dates, dry, pale brown ",3.73,F,"Raisins, dried, black",0.97,CSF,Mango ginger,4.79
F,"Tamarind, pulp",2.92,GL,"Horse gram, whole",0.62,F,"Raisins, dried, golden ",4.56,F,Mangosteen ,11.41,F,Wood Apple ,78.154962,GLV,Basella leaves,0.06,NOS,Linseeds,0.05,F,"Guava, pink flesh ",0.59,MMP,Khoa,0.33,F,"Raisins, dried, golden ",0.17,CSD,Mace,1.8,F,"Jack fruit, ripe",32.15,CM,"Maize, tender, sweet",5.72,F,Avocado fruit ,2.1,MMP,"Milk,Whole,Buffollo",0.19,GL,"Black gram, dal",8.3,OV,Parwar,13.1,OV,Celery stalk,38.73,GL,"Bengal gram, dal",0.008,GLV,Brussels sprouts,1.54,GLV,"Tamarind leaves, tender",42.1,GLV,Cauliflower leaves,0.5,OV,"Tomato, ripe, hybrid",0.008,F,Avocado fruit ,63.14,OV,"Field beans, tender, broad",345,GLV,"Tamarind leaves, tender",2.45,NOS,"Coconut, kernel, dry ",9,OV,"Colocasia, stem, black",0.54,GLV,"Gogu leaves, green",150,OV,"Onion, stalk",43.55,CSD,Cumin seedS,0,CM,"Maize, tender, sweet",2.16,OV,Brinjal-1,3.75,OV,"Jack fruit, raw",6.6,OV,"Papaya, raw",3.82,OV,"Capsicum, red",1.1,F,Pear ,0.87,GLV,"Colocasia leaves, green",4.43,OV,Celery stalk,3.71,OV,"Corn, Baby",0.96,NOS,"Gingelly seeds, brown ",4.79
OV,"Bean scarlet, tender",2.86,GL,"Lentil whole, yellowish",0.61,F,Phalsa ,4.54,F,Litchi ,11.41,F,Sapota ,73.374842,OV,"Bamboo shoot, tender",0.06,CM,Samai,0.05,OV,"Capsicum, yellow",0.59,OV,Bitter gourd,0.33,RT,Colocasia,0.17,F,"Banana, ripe, poovam ",1.79,NOS,Pine seed,31.64,F,Peach,5.49,GL,"Green gram, dal",2.05,OV,"Plantain, flower",0.19,NOS,Mustard seeds ,8.2,NOS,"Gingelly seeds, black",13.09,RT,Lotus root,37.71,OV,Drumstick,0.008,OV,"Corn, Baby",1.45,GLV,Cauliflower leaves,41.5,MF,Coconut Water,0.48,CSD,Nutmeg,0.007,RT,Water Chestnut,62.83,RT,"Sweet potato, brown skin",345,GLV,"Gogu leaves, green",2.38,NOS,"Garden cress, seeds ",8.12,GLV,Agathi leaves,0.53,F,"Raisins, dried, black",147,CSF,"Chillies, green - all varieties",43.14,CSD,Asafoetida,0,CM,Bajra,2.15,GL,Lentil dal,3.74,NOS,"Garden cress, seeds ",6.58,OV,"Capsicum, yellow",3.8,OV,Drumstick,1.1,GLV,Lettuce,0.87,F,"Currants, black ",4.42,OV,"Tinda, tender",3.7,OV,"Capsicum, green",0.96,CM,Barley,4.78
F,"Raisins, dried, golden ",2.76,F,"Apple, small, Kashmir ",0.6,OV,"Bean scarlet, tender",4.5,F,"Mango, ripe, kesar ",11.36,OV,"Corn, Baby",73.135836,OV,Bottlegourd,0.06,CSD,Nutmeg,0.05,GLV,Mustard leaves,0.58,CM,"Maize, tender, sweet",0.32,GL,Moth bean,0.16,CSD,Omum,1.78,OV,"Pumpkin, green, cylindrical",31.6,CSF,"Ginger, fresh",5.43,F,"Apple, small, Kashmir ",2.04,OV,"Capsicum, red",0.19,OV,"Cucumber, green, elongate",8.2,NOS,"Gingelly seeds, white",12.94,RT,Water Chestnut,37.15,RT,Beet root,0.008,F,"Currants, black ",1.36,OV,Broad beans,40.18,F,Phalsa ,0.47,RT,Water Chestnut,0.007,GLV,Cauliflower leaves,62.82,CSF,"Chillies, green - all varieties",341,F,Wood Apple ,2.32,NOS,"Niger seeds, gray ",8.08,GLV,Lettuce,0.51,S,"Sugarcane, juice ",145,CM,"Amaranth seed, pale brown",43.03,OV,"Onion, stalk",0,CM,"Maize, tender, local",2.15,GL,"Horse gram, whole",3.72,GLV,Mustard leaves,6.57,NOS,Pine seed,3.79,F,"Banana, ripe, robusta ",1.09,OV,Parwar,0.86,NOS,Walnut,4.41,OV,"Field beans, tender, broad",3.68,RT,"Yam, ordinary",0.96,NOS,"Gingelly seeds, black",4.78
F,"Jack fruit, ripe",2.74,F,"Mango, ripe, paheri",0.58,RT,"Carrot, red",4.49,NOS,Linseeds,10.99,GLV,Parsley,72.89683,CM,"Rice, raw, milled",0.05,CSF,Coriander leaves,0.05,GLV,"Gogu leaves, green",0.58,CSD,Poppy seeds,0.32,NOS,Cashew nut ,0.16,CSF,Curry leaves,1.77,CM,Barley,31.58,OV,Ridge gourd,5.42,CSD,Fenugreek seeds,1.98,F,Custard apple ,0.19,F,"Jambu fruit, ripe",7.94,GL,"Black gram, whole",12.8,RT,"Radish, round, red skin",35.76,OV,"Capsicum, red",0.008,OV,Celery stalk,1.36,OV,"Peas, fresh",40.11,OV,Broad beans,0.47,CSD,"Cardamom, black",0.006,OV,"Bean scarlet, tender",62.13,GLV,Basella leaves,337,OV,Parwar,2.32,M,"Button mushroom, fresh ",7.72,GLV,Radish leaves,0.49,F,"Dates, dry, pale brown ",140,CM,"Wheat, bulgur",42.69,CSF,"Chillies, green - all varieties",0,OV,"Peas, fresh",2.15,CM,Ragi,3.7,CSF,Curry leaves,6.51,OV,Ladies finger,3.79,CSF,"Chillies, green - all varieties",1.09,F,"Apricot, dried ",0.86,NOS,"Gingelly seeds, white",4.38,OV,Ridge gourd,3.68,CSD,"Cardamom, green",0.96,F,"Cherries, red ",4.78
NOS,"Arecanut, fresh (Areca catechu)",2.73,F,Bael fruit ,0.57,F,Pear ,4.48,NOS,"Gingelly seeds, white",10.83,MMP,"Milk, Whole, Cow",72.89683,CSD,"Cardamom, black",0.05,OV,"Tomato, green",0.05,F,Mangosteen ,0.58,RT,"Yam, ordinary",0.32,OV,"Corn, Baby",0.16,GL,"Lentil whole, brown",1.74,NOS,"Garden cress, seeds ",30.92,RT,Beet root,5.26,GL,"Bengal gram, whole",1.93,RT,Tapioca,0.19,F,Litchi ,7.81,GL,"Lentil whole, yellowish",12.64,OV,Knol - Khol,35.26,GL,"Soya bean, white",0.007,NOS,"Coconut, kernel, fresh ",1.3,OV,"Plantain, flower",39.76,RT,Colocasia,0.47,CSF,Mango ginger,0.006,GLV,"Colocasia leaves, green",57.88,F,"Banana, ripe, poovam ",335,CM,"Rice, raw, brown",2.26,CM,Barley,7.56,F,Phalsa ,0.48,OV,"Capsicum, green",135,F,"Apple, small, Kashmir ",41.61,CM,"Amaranth seed, pale brown",0,NOS,"Coconut, kernel, dry ",2.15,F,"Banana, ripe, robusta ",3.69,CSF,"Ginger, fresh",6.49,F,Pummelo,3.78,CSD,Nutmeg,1.08,GLV,Radish leaves,0.86,CSF,"Ginger, fresh",4.36,CSF,"Chillies, green - all varieties",3.66,CSD,Cumin seedS,0.95,OV,"Plantain, flower",4.75
OV,"Corn, Baby",2.69,F,"Mango, ripe, kesar ",0.57,CM,"Rice, raw, brown",4.43,F,Black berry (Rubus fruticosus),10.64,F,"Jack fruit, ripe",72.179812,MMP,"Milk,Whole,Buffollo",0.05,RT,Lotus root,0.05,OV,"Capsicum, green",0.56,F,"Jambu fruit, ripe",0.31,GLV,Mustard leaves,0.16,F,"Mango, ripe, paheri",1.73,OV,"Colocasia, stem, black",30.88,RT,Water Chestnut,5.26,OV,Bitter gourd,1.92,OV,"Capsicum, yellow",0.18,GL,"Lentil whole, brown",7.27,GLV,"Knol-Khol, leaves",12.04,RT,"Carrot, orange",35.09,GL,"Red gram, dal",0.007,CM,Samai,1.26,F,Custard apple ,38.47,F,Black berry (Rubus fruticosus),0.47,GLV,Basella leaves,0.006,OV,Ladies finger,57.48,CM,"Wheat, bulgur",330,OV,"Red gram, tender, fresh",2.19,OV,"Papaya, raw",7.55,GLV,"Betel leaves, big (kolkata)",0.47,F,Pummelo,134,F,"Musk melon, yellow flesh ",41.54,CM,"Wheat, bulgur",0,MMP,"Milk, Whole, Cow",2.14,NOS,Safflower seeds ,3.69,CM,Barley,6.49,GLV,Bathua leaves,3.77,F,Plum,1.08,F,"Mango, ripe, kesar ",0.85,CSD,Asafoetida,4.35,F,Karonda fruit ,3.66,OV,"Bamboo shoot, tender",0.95,GL,"Lentil whole, yellowish",4.75
F,Bael fruit ,2.63,F,Strawberry ,0.56,OV,"French beans, hybrid",4.38,F,Pummelo,10.64,F,Phalsa ,71.462794,OV,Cluster beans,0.05,CM,"Rice, raw, milled",0.05,OV,"Tinda, tender",0.56,CSD,"Pepper, black",0.3,F,"Guava, pink flesh ",0.16,CM,"Maize, tender, local",1.7,GLV,Lettuce,30.69,OV,"Colocasia, stem, black",5.15,NOS,"Garden cress, seeds ",1.92,CM,"Amaranth seed, black",0.17,F,"Grapes, seedless, round, green ",7.15,F,Avocado fruit ,12,F,"Jack fruit, ripe",35.03,NOS,Ground nut ,0.007,F,Goosberry ,1.25,OV,Drumstick,38.1,OV,"Peas, fresh",0.46,GLV,Cauliflower leaves,0.006,OV,"Peas, fresh",55.95,NOS,Cashew nut ,329,CM,"Maize, tender, sweet",2.17,OV,"Plantain, flower",7.51,CSF,Mango ginger,0.47,MMP,"Milk,Whole,Buffollo",132,OV,"Colocasia, stem, black",41.36,F,"Apple, small, Kashmir ",0,CM,Varagu,2.14,CM,Rice puffed,3.68,RT,"Potato, brown skin, big",6.44,CSD,Turmeric powder,3.76,OV,"French beans, hybrid",1.07,GLV,Agathi leaves,0.85,CSD,"Cardamom, green",4.32,GL,"Peas, dry",3.65,GL,"Bengal gram, whole",0.95,GLV,Brussels sprouts,4.74
OV,Drumstick,2.62,CM,"Rice, parboiled, milled",0.55,F,Black berry (Rubus fruticosus),4.35,OV,"Mango, green, raw",10.59,GLV,"Tamarind leaves, tender",71.462794,GLV,Cauliflower leaves,0.05,GLV,Cauliflower leaves,0.05,RT,"Yam, ordinary",0.56,GLV,"Tamarind leaves, tender",0.3,GLV,Radish leaves,0.16,NOS,"Arecanut, fresh (Areca catechu)",1.7,CM,"Wheat, whole",30.09,F,Phalsa ,5.11,NOS,Safflower seeds ,1.91,NOS,"Arecanut, dried, red color",0.17,CSD,"Cardamom, green",6.81,RT,"Sweet potato, pink skin",11.12,OV,"Kovai, big",34.39,CM,"Wheat, bulgur",0.007,RT,"Yam, elephant",1.22,CM,"Wheat, semolina",37.89,F,Strawberry ,0.43,CM,"Maize, tender, sweet",0.006,GLV,"Knol-Khol, leaves",55.02,OV,Cauliflower,329,F,"Guava, pink flesh ",2.1,OV,Ladies finger,7.37,GLV,Spinach,0.46,F,"Dates, dry, dark brown ",129,GLV,Brussels sprouts,41.11,F,"Musk melon, yellow flesh ",0,CM,Barley,2.13,CM,"Maize, dry",3.67,F,"Grapes, seedless, round, black",6.44,RT,Water Chestnut,3.76,OV,"Ridge gourd, smooth skin",1.06,GLV,"Pumpkin leaves, tender",0.85,RT,Lotus root,4.32,OV,Ash gourd,3.65,F,Strawberry ,0.93,NOS,Pine seed,4.73
F,"Raisins, dried, black",2.57,GLV,"Amaranth leaves, green",0.53,GLV,Brussels sprouts,4.29,CSD,Fenugreek seeds,10.57,GLV,Agathi leaves,70.50677,OV,"Jack fruit, raw",0.05,OV,"Jack fruit, raw",0.05,OV,"Kovai, big",0.55,OV,"Tomato, green",0.3,F,"Dates, dry, dark brown ",0.153,GLV,Mustard leaves,1.7,OV,"Papaya, raw",29.79,F,"Banana, ripe, robusta ",4.76,OV,Bottlegourd,1.9,GL,"Black gram, dal",0.17,F,Wood Apple ,6.8,GL,"Lentil whole, brown",10.29,OV,"Plantain, flower",34.06,OV,Cauliflower,0.007,CSF,"Chillies, green - all varieties",1.2,RT,Colocasia,36.93,OV,"Bamboo shoot, tender",0.42,F,Karonda fruit ,0.006,GLV,Fenugreek leaves,53.05,RT,"Sweet potato, pink skin",329,GLV,Spinach,2.09,NOS,Pistachio nuts,6.93,S,"Jaggery, cane ",0.45,GLV,Agathi leaves,125,CM,"Maize, dry",40.76,OV,"Colocasia, stem, black",0,OV,"Corn, Baby",2.13,F,Pear ,3.65,NOS,Ground nut ,6.4,NOS,"Niger seeds, gray ",3.72,F,Pineapple ,1.06,RT,"Radish, elongate, white skin",0.85,CSD,Mace,4.29,F,Pear ,3.64,GLV,Brussels sprouts,0.93,RT,Tapioca,4.72
RT,"Yam, elephant",2.56,F,"Currants, black ",0.53,RT,"Carrot, orange",4.18,NOS,"Gingelly seeds, black",10.29,RT,"Potato, brown skin, big",69.789752,OV,"French beans, hybrid",0.05,OV,"French beans, hybrid",0.05,F,Wood Apple ,0.55,CSF,"Onion, big",0.3,CSD,"Cardamom, green",0.15,F,"Banana, ripe, robusta ",1.69,F,"Guava, white flesh ",29.76,F,"Dates, dry, pale brown ",4.42,CSF,"Garlic, small clove",1.88,OV,Knol - Khol,0.17,F,Fig ,5.75,RT,Beet root,10.14,NOS,"Arecanut, fresh (Areca catechu)",34.03,F,Goosberry ,0.007,OV,"Red gram, tender, fresh",1.18,CSF,Mango ginger,36.86,GLV,Mustard leaves,0.41,NOS,"Arecanut, dried, brown ",0.005,OV,Drumstick,52.87,CM,Jowar,328,F,"Tamarind, pulp",2.05,F,"Papaya, ripe ",6.68,OV,Ladies finger,0.45,GL,"Black gram, whole",117,F,Star fruit ,39.9,GLV,Brussels sprouts,0,GLV,"Amaranth leaves, green",2.12,GLV,"Gogu leaves, green",3.64,NOS,Sunflower seeds,6.38,CM,"Rice, raw, milled",3.7,OV,"Cucumber, green, elongate",1.06,GLV,Spinach,0.84,F,"Banana, ripe, robusta ",4.28,GL,Moth bean,3.63,OV,"Kovai, big",0.93,CSD,Omum,4.7
GLV,"Betel leaves, big (kolkata)",2.51,CM,"Rice, raw, milled",0.52,RT,"Yam, elephant",4.17,GL,"Soya bean, white",10.16,GLV,Drumstick leaves,67.399692,OV,Parwar,0.05,OV,Parwar,0.05,GLV,Bathua leaves,0.54,RT,"Carrot, orange",0.3,F,Fig ,0.15,F,"Mango, ripe, kesar ",1.67,RT,"Radish, elongate, white skin",29.75,CM,"Maize, tender, local",4.26,CSF,"Garlic, big clove",1.88,CM,Ragi,0.16,CSD,"Cardamom, black",5.74,GL,"Black gram, dal",10.11,NOS,Cashew nut ,34,F,"Banana, ripe, robusta ",0.007,OV,Bitter gourd,1.15,CM,"Maize, tender, sweet",36.51,GLV,Brussels sprouts,0.41,GLV,Garden cress,0.005,GLV,Agathi leaves,52.52,OV,Knol - Khol,327,F,"Apricot, dried ",2.05,OV,"Cucumber, green, elongate",6.33,GLV,"Knol-Khol, leaves",0.42,F,"Cherries, red ",116,OV,"Kovai, big",39.75,CM,"Maize, dry",0,CSD,"Chillies, red",2.11,CSD,Poppy seeds,3.64,CSD,"Chillies, red",6.38,OV,"Plantain, green",3.7,GLV,"Cabbage, green",1.06,NOS,Almond ,0.84,NOS,Safflower seeds ,4.27,NOS,Pine seed,3.63,GLV,"Cabbage, green",0.93,NOS,"Garden cress, seeds ",4.69
GLV,Bathua leaves,2.5,GLV,Mustard leaves,0.51,OV,Ladies finger,4.08,NOS,Walnut,10.14,F,"Apple, small, Kashmir ",64.292614,GLV,Lettuce,0.05,RT,"Yam, elephant",0.05,OV,"Corn, Baby",0.53,CM,Ragi,0.29,GLV,Spinach,0.15,NOS,"Arecanut, dried, brown ",1.66,CSF,"Onion, small",29.68,F,"Apple, small, Kashmir ",4.24,OV,"French beans, hybrid",1.85,GLV,Basella leaves,0.16,F,"Musk melon, orange flesh",5.7,NOS,Walnut,9.53,OV,Drumstick,33.3,F,"Apple, small, Kashmir ",0.007,S,"Sugarcane, juice ",1.12,OV,"Plantain, green",35.64,F,"Raisins, dried, golden ",0.41,F,"Dates, dry, pale brown ",0.005,GLV,"Betel leaves, big (kolkata)",51.73,OV,"Jack fruit, raw",327,GLV,Brussels sprouts,2.01,OV,"Ridge gourd, smooth skin",6.27,OV,"Plantain, flower",0.42,OV,"Colocasia, stem, black",113,OV,"Capsicum, yellow",39.49,F,Star fruit ,0,CM,Rice puffed,2.11,OV,"Plantain, flower",3.63,RT,Colocasia,6.36,OV,"Capsicum, red",3.67,GL,"Green gram, dal",1.05,GL,"Bengal gram, dal",0.84,MMP,"Milk,Whole,Buffollo",4.26,CSF,"Onion, small",3.62,OV,"Capsicum, red",0.92,GL,"Peas, dry",4.67
OV,"French beans, hybrid",2.49,GLV,Radish leaves,0.51,RT,"Yam, ordinary",4.08,F,"Currants, black ",9.93,CSF,Curry leaves,63.575596,OV,Bitter gourd,0.05,GLV,"Cabbage, violet",0.05,CSD,"Cardamom, black",0.52,OV,Brinjal-1,0.29,NOS,"Coconut, kernel, dry ",0.15,F,Wood Apple ,1.65,OV,Ridge gourd,29.26,F,"Dates, dry, dark brown ",3.84,GL,"Horse gram, whole",1.8,GL,Lentil dal,0.16,F,"Cherries, red ",5.56,NOS,"Niger seeds, gray ",8.49,NOS,"Coconut, kernel, dry ",32,NOS,Almond ,0.006,OV,Bottlegourd,1.08,NOS,"Garden cress, seeds ",35,OV,Cluster beans,0.39,OV,Ladies finger,0.005,CSF,"Chillies, green - all varieties",50.91,OV,Bitter gourd,326,F,"Raisins, dried, black",1.86,NOS,Cashew nut ,5.53,RT,Colocasia,0.41,GLV,"Amaranth leaves, green",111,OV,Brinjal-1,38.73,OV,"Kovai, big",0,NOS,"Arecanut, dried, brown ",2.09,CM,Barley,3.63,NOS,Safflower seeds ,6.32,CSF,Curry leaves,3.66,F,"Banana, ripe, poovam ",1.05,F,"Water melon, pale green ",0.84,CSD,Pippali,4.25,RT,Beet root,3.6,GL,"Cowpea, white",0.92,NOS,"Gingelly seeds, white",4.64
F,"Dates, dry, pale brown ",2.45,GLV,Brussels sprouts,0.5,F,"Currants, black ",4.07,NOS,"Gingelly seeds, brown ",9.76,F,"Cherries, red ",59.7515,OV,"Capsicum, green",0.05,OV,"Onion, stalk",0.05,OV,"Bean scarlet, tender",0.52,GLV,Beet greens,0.29,OV,"Capsicum, green",0.15,F,Black berry (Rubus fruticosus),1.65,CM,"Wheat flour, atta",29.22,OV,"Plantain, stem",3.77,NOS,Pistachio nuts,1.8,CM,"Amaranth seed, pale brown",0.15,RT,"Yam, ordinary",5.5,MMP,"Milk,Whole,Buffollo",8.42,OV,"Onion, stalk",31.12,CSD,Nutmeg,0.006,CSF,"Garlic, big clove",1.05,OV,"French beans, hybrid",34.98,GLV,Lettuce,0.38,RT,"Yam, elephant",0.005,GLV,Radish leaves,50.08,M,"Button mushroom, fresh ",318,F,"Mango, ripe, kesar ",1.85,CSF,Mango ginger,5.51,F,"Apricot, dried ",0.41,GLV,"Betel leaves, big (kolkata)",110,OV,"Jack fruit, raw",38.57,OV,"Capsicum, yellow",0,MMP,"Milk,Whole,Buffollo",2.08,CM,Rice flakes,3.62,F,Avocado fruit ,6.27,CSF,"Chillies, green - all varieties",3.66,F,Pear ,1.05,OV,Ash gourd,0.83,F,Avocado fruit ,4.24,F,"Musk melon, orange flesh",3.6,CSD,"Chillies, red",0.92,OV,Celery stalk,4.64
GLV,Beet greens,2.38,GLV,"Tamarind leaves, tender",0.49,GLV,Bathua leaves,4.01,CSF,"Onion, big",9.56,S,"Sugarcane, juice ",57.839452,NOS,"Coconut, kernel, dry ",0.04,GLV,"Cabbage, green",0.05,CM,"Amaranth seed, pale brown",0.52,NOS,"Garden cress, seeds ",0.28,F,"Dates, dry, pale brown ",0.14,GL,"Lentil whole, yellowish",1.63,CSF,"Onion, big",28.88,F,"Tamarind, pulp",3.62,F,"Raisins, dried, black",1.76,NOS,"Arecanut, dried, brown ",0.15,GL,"Rajmah, brown",5.5,CM,Jowar,8.29,CM,"Wheat flour, atta",30.94,NOS,Walnut,0.006,NOS,"Arecanut, fresh (Areca catechu)",1.04,F,"Banana, ripe, robusta ",34.98,OV,"Bean scarlet, tender",0.37,RT,"Sweet potato, pink skin",0.005,RT,"Yam, ordinary",49.46,OV,"French beans, hybrid",317,F,"Guava, white flesh ",1.84,CSF,"Onion, big",5.5,GLV,Basella leaves,0.39,F,"Grapes, seedless, round, black",109,CM,"Wheat, whole",38.51,OV,Brinjal-1,0,F,"Mango, ripe, kesar ",2.07,F,Strawberry ,3.61,OV,"Bamboo shoot, tender",6.24,CM,"Rice, raw, brown",3.63,OV,"Bamboo shoot, tender",1.04,CSD,Nutmeg,0.83,OV,"French beans, hybrid",4.22,GL,"Bengal gram, whole",3.55,GL,Moth bean,0.92,GLV,"Colocasia leaves, green",4.64
F,"Dates, dry, dark brown ",2.38,OV,"Capsicum, red",0.47,RT,"Sweet potato, brown skin",3.99,GLV,Parsley,9.43,F,Plum,56.883428,CM,"Amaranth seed, black",0.04,OV,"Plantain, green",0.05,CSD,Nutmeg,0.51,CSD,Coriander seeds,0.28,GLV,"Tamarind leaves, tender",0.14,NOS,Ground nut ,1.61,CSD,Cumin seedS,27.79,F,Pear ,3.31,GL,"Bengal gram, dal",1.75,OV,"Bean scarlet, tender",0.15,F,Mangosteen ,5.5,GL,"Cowpea, white",8.21,OV,Parwar,30.76,OV,"Field beans, tender, broad",0.006,CM,"Rice, raw, brown",1.02,F,Bael fruit ,34.1,CM,"Maize, tender, local",0.36,OV,"Tomato, green",0.005,OV,Cauliflower,47.33,OV,"Onion, stalk",312,F,"Raisins, dried, golden ",1.72,CM,Jowar,5.42,CSF,"Ginger, fresh",0.39,MMP,"Milk, Whole, Cow",106,F,"Papaya, ripe ",37.91,OV,"Jack fruit, raw",0,GL,"Lentil whole, brown",2.07,OV,"Capsicum, red",3.61,CSD,Cumin seedS,6.23,CM,Rice flakes,3.62,F,"Dates, dry, pale brown ",1.03,RT,"Potato, brown skin, big",0.83,OV,Ridge gourd,4.21,CM,Bajra,3.55,CM,Ragi,0.91,F,Bael fruit ,4.62
CSF,"Chillies, green - all varieties",2.36,RT,"Carrot, red",0.47,OV,Brinjal-1,3.98,F,Pineapple ,9.42,CSF,"Onion, small",56.644422,CM,"Amaranth seed, pale brown",0.04,NOS,Pistachio nuts,0.04,RT,Colocasia,0.51,OV,Ladies finger,0.28,OV,"Plantain, stem",0.14,CSD,Nutmeg,1.59,CM,"Amaranth seed, black",27.44,MMP,"Milk,Whole,Buffollo",2.37,GLV,"Colocasia leaves, green",1.7,OV,"Corn, Baby",0.13,F,Phalsa ,5.36,NOS,Sunflower seeds,8.15,RT,"Radish, elongate, white skin",30.2,GL,Lentil dal,0.006,OV,"French beans, hybrid",0.98,F,"Raisins, dried, black",33.76,F,"Banana, ripe, robusta ",0.36,GLV,"Betel leaves, big (kolkata)",0.004,OV,"Plantain, flower",47.31,CM,"Wheat flour, atta",311,OV,"Peas, fresh",1.63,OV,"Pumpkin, green, cylindrical",5.21,OV,"French beans, hybrid",0.37,OV,"Tomato, ripe, hybrid",104,OV,"Capsicum, red",37.77,CM,"Wheat, whole",0,CM,Jowar,2.07,GLV,Radish leaves,3.59,NOS,Pine seed,6.23,NOS,"Niger seeds, black ",3.61,GLV,Radish leaves,1.01,RT,"Radish, round, red skin",0.83,GLV,Basella leaves,4.17,RT,"Yam, ordinary",3.54,OV,Cluster beans,0.91,RT,"Yam, ordinary",4.62
GLV,Radish leaves,2.22,RT,"Carrot, orange",0.47,RT,"Sweet potato, pink skin",3.94,F,"Guava, pink flesh ",9.14,F,"Jambu fruit, ripe",56.16641,S,"Jaggery, cane ",0.04,CM,"Wheat, semolina",0.04,OV,"Tomato, ripe, hybrid",0.51,CM,"Amaranth seed, pale brown",0.28,GL,Ricebean,0.13,OV,Ladies finger,1.58,OV,"Ridge gourd, smooth skin",27.36,F,Plum,2.26,F,"Guava, white flesh ",1.68,F,Goosberry ,0.12,F,"Guava, pink flesh ",5.35,OV,"Tinda, tender",7.96,RT,Colocasia,30.18,CM,"Wheat, whole",0.006,OV,Cauliflower,0.96,RT,"Yam, elephant",33.51,F,"Banana, ripe, montham",0.36,OV,"Plantain, flower",0.004,OV,"French beans, hybrid",45.9,GLV,"Knol-Khol, leaves",309,OV,Cluster beans,1.59,CM,Samai,4.77,OV,"Bamboo shoot, tender",0.37,GLV,Beet greens,101,OV,Bottlegourd,37.7,F,"Papaya, ripe ",0,GLV,Drumstick leaves,2.06,GLV,Brussels sprouts,3.58,RT,"Radish, round, red skin",6.19,NOS,Safflower seeds ,3.55,OV,"Tomato, green",1.01,GLV,"Amaranth leaves, green",0.82,GLV,Cauliflower leaves,4.16,CSD,Poppy seeds,3.54,F,"Banana, ripe, poovam ",0.9,F,Karonda fruit ,4.62
